id,species,class,weapon,draw_type,season_dates,unit_group,hunter_choice_number_ke,quota,season_start_date,season_end_date
866,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",14,Hunter Choice Number 190,10,2021-08-10,2021-11-05
867,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Jan 01, 2022",15,Hunter Choice Number 191,10,2021-08-10,2022-01-01
868,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Dec 01, 2021 - Jan 01, 2022",21,Hunter Choice Number 192,15,2021-12-01,2022-01-01
869,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",22,Hunter Choice Number 193,15,2021-08-10,2021-11-05
870,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",31,Hunter Choice Number 194,65,2021-08-10,2021-11-05
871,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",32,Hunter Choice Number 195,55,2021-08-10,2021-11-05
872,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",33,Hunter Choice Number 196,15,2021-08-10,2021-11-05
873,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",34,Hunter Choice Number 197,8,2021-08-10,2021-11-05
874,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",35,Hunter Choice Number 198,35,2021-08-10,2021-11-05
877,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",51,Hunter Choice Number 199,70,2021-08-10,2021-11-05
879,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",65,Hunter Choice Number 200,15,2021-08-10,2021-11-05
881,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Nov 10, 2021 - Jan 01, 2022",81,Hunter Choice Number 201,35,2021-11-10,2022-01-01
860,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",121,Hunter Choice Number 202,45,2021-08-10,2021-11-02
861,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 30, 2021",192,Hunter Choice Number 203,25,2021-08-10,2021-11-30
862,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",195,Hunter Choice Number 204,10,2021-08-10,2021-11-02
900,Mule Deer,Antlered or Antlerless,Shotgun or Bow Only,Resident Junior,"Aug 10, 2021 - Nov 30, 2021",203,Hunter Choice Number 205,20,2021-08-10,2021-11-30
863,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Oct 31, 2021",231,Hunter Choice Number 206,70,2021-08-10,2021-10-31
864,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 30, 2021",291,Hunter Choice Number 207,20,2021-08-10,2021-11-30
865,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 05, 2021",011 - 013,Hunter Choice Number 208,30,2021-08-10,2021-11-05
875,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021","041, 042",Hunter Choice Number 209,15,2021-08-10,2021-11-02
876,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",043 - 046,Hunter Choice Number 210,70,2021-08-10,2021-11-02
878,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021","061, 062, 064, 066 - 068",Hunter Choice Number 211,320,2021-08-10,2021-11-02
880,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021","071 - 079, 091",Hunter Choice Number 212,380,2021-08-10,2021-11-02
882,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",101 - 109,Hunter Choice Number 213,490,2021-08-10,2021-11-02
883,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",111 - 113,Hunter Choice Number 214,120,2021-08-10,2021-11-02
884,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021","114, 115",Hunter Choice Number 215,30,2021-08-10,2021-11-02
885,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Oct 31, 2021",131 - 134,Hunter Choice Number 216,170,2021-08-10,2021-10-31
887,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",141 - 145,Hunter Choice Number 217,190,2021-08-10,2021-11-02
888,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",151 - 156,Hunter Choice Number 218,65,2021-08-10,2021-11-02
890,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",161 - 164,Hunter Choice Number 219,140,2021-08-10,2021-11-02
891,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",171 - 173,Hunter Choice Number 220,180,2021-08-10,2021-11-02
893,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",181 - 184,Hunter Choice Number 221,55,2021-08-10,2021-11-02
895,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 30, 2021","194, 196",Hunter Choice Number 222,15,2021-08-10,2021-11-30
896,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Nov 05, 2021 - Jan 01, 2022","201, 204",Hunter Choice Number 223,6,2021-11-05,2022-01-01
898,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Nov 05, 2021 - Jan 01, 2022","202, 205 - 208",Hunter Choice Number 224,15,2021-11-05,2022-01-01
902,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 30, 2021",211 - 213,Hunter Choice Number 225,20,2021-08-10,2021-11-30
903,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Oct 31, 2021",221 - 223,Hunter Choice Number 226,170,2021-08-10,2021-10-31
904,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Oct 31, 2021",241 - 245,Hunter Choice Number 227,45,2021-08-10,2021-10-31
906,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 02, 2021",251 - 254,Hunter Choice Number 228,20,2021-08-10,2021-11-02
908,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 30, 2021",261 - 268,Hunter Choice Number 229,35,2021-08-10,2021-11-30
910,Mule Deer,Antlered or Antlerless,Muzzleloader,Resident Junior,"Aug 10, 2021 - Nov 30, 2021","271, 272",Hunter Choice Number 230,10,2021-08-10,2021-11-30
86,Mule Deer,Antlerless,Any Legal Weapon,Resident,"Oct 10, 2021 - Oct 31, 2021",51,Hunter Choice Number 312,25,2021-10-10,2021-10-31
88,Mule Deer,Antlerless,Any Legal Weapon,Resident,"Oct 10, 2021 - Oct 31, 2021","061, 062, 064, 066 - 068",Hunter Choice Number 313,120,2021-10-10,2021-10-31
936,Mule Deer,Antlerless,Any Legal Weapon,Resident,"Nov 06, 2021 - Nov 20, 2021","062, 067 - 068",Hunter Choice Number 314,120,2021-11-06,2021-11-20
93,Mule Deer,Antlerless,Any Legal Weapon,Resident,"Oct 10, 2021 - Oct 31, 2021","071 - 079, 091",Hunter Choice Number 315,290,2021-10-10,2021-10-31
96,Mule Deer,Antlerless,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021","101, 102, 109",Hunter Choice Number 316,160,2021-10-05,2021-10-20
102,Mule Deer,Antlerless,Any Legal Weapon,Resident,"Dec 16, 2021 - Dec 24, 2021","114, 115 within 1 mile of Baker Ranch",Hunter Choice Number 317,10,2021-12-16,2021-12-24
104,Mule Deer,Antlerless,Any Legal Weapon,Resident,"Dec 01, 2021 - Dec 15, 2021","114, 115 within 1 mile of Baker Ranch",Hunter Choice Number 318,40,2021-12-01,2021-12-15
8375986,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 17, 2021 - Oct 30, 2021",171 - 173,Hunter Choice Number 1345,190,2021-10-17,2021-10-30
105,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 05, 2021",14,Hunter Choice Number 319,15,2021-10-05,2021-11-05
109,Mule Deer,Antlered,Any Legal Weapon,Resident,"Dec 11, 2021 - Jan 01, 2022",15,Hunter Choice Number 321,35,2021-12-11,2022-01-01
110,Mule Deer,Antlered,Any Legal Weapon,Resident,"Dec 21, 2021 - Jan 01, 2022",21,Hunter Choice Number 322,40,2021-12-21,2022-01-01
113,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 05, 2021",22,Hunter Choice Number 323,45,2021-10-05,2021-11-05
115,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 05, 2021",31,Hunter Choice Number 324,140,2021-10-05,2021-11-05
120,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 05, 2021",32,Hunter Choice Number 325,85,2021-10-05,2021-11-05
121,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 05, 2021",33,Hunter Choice Number 326,20,2021-10-05,2021-11-05
124,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 05, 2021",34,Hunter Choice Number 328,30,2021-10-05,2021-11-05
126,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 05, 2021",35,Hunter Choice Number 329,75,2021-10-05,2021-11-05
